T28,Research and development (R&D) expenditure and researchers (full time equivalent),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2005,Researchers per million inhabitants (FTE),900.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2010,Researchers per million inhabitants (FTE),"1,006.30",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2015,Researchers per million inhabitants (FTE),"1,136.90",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2022,Gross domestic expenditure on R&D: as a percentage of GDP,2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
1,"Total, all countries or areas",2022,Researchers per million inhabitants (FTE),"1,419.80",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
15,Northern Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2025."
